iter	RMSE
0	4.751446491
1	4.556040199
2	4.402785744
3	4.205759503
4	4.038951013
5	3.903339789
6	3.756913842
7	3.619771926
8	3.480985203
9	3.379680086
10	3.351815999
11	3.254955677
12	3.193408011
13	3.167181346
14	3.079411532
15	2.993054008
16	2.979407748
17	2.92563786
18	2.894692502
19	2.852988521
20	2.772870214
21	2.679329904
22	2.665831225
23	2.633048202
24	2.541539583
25	2.482219342
26	2.419270866
27	2.377833585
28	2.349289945
29	2.31870771
30	2.266475117
31	2.239907766
32	2.215925329
33	2.196036792
34	2.139092854
35	2.113599151
36	2.062332383
37	2.036976509
38	2.014112744
39	1.997169458
40	1.980000858
41	1.963271089
42	1.92774373
43	1.911535952
44	1.893403794
45	1.877977935
46	1.860414437
47	1.846752357
48	1.832552334
49	1.824855738
50	1.780544159
51	1.765413728
52	1.749757115
53	1.73469196
54	1.722645613
55	1.7114727
56	1.697861566
57	1.686969657
58	1.675990342
59	1.664243191
60	1.652867348
61	1.647762778
62	1.63662717
63	1.625691171
64	1.613314077
65	1.603879822
66	1.595414462
67	1.586456554
68	1.576854305
69	1.52930623
70	1.519501441
71	1.510205959
72	1.502675211
73	1.495714291
74	1.491841767
75	1.488009946
76	1.440619051
77	1.43310366
78	1.424280183
79	1.416370877
80	1.409687458
81	1.406288315
82	1.399615477
83	1.354294638
84	1.351042061
85	1.315241614
86	1.312021931
87	1.304765591
88	1.268386251
89	1.261704535
90	1.25525226
91	1.249001615
92	1.242925913
93	1.237654647
94	1.200147975
95	1.197438809
96	1.191830904
97	1.156441158
98	1.150989069
99	1.1483836
100	1.143669218
101	1.139028549
102	1.136671024
103	1.113049875
104	1.108660917
105	1.104408851
106	1.102147662
107	1.080548077
108	1.076182725
109	1.074039764
110	1.071378965
111	1.067641594
112	1.063948534
113	1.060344036
114	1.031391272
115	1.029427967
116	1.002289201
117	1.00030365
118	0.9984193631
119	0.9965709343
120	0.9762585894
121	0.9741983784
122	0.9724074978
123	0.9703226669
124	0.9671421914
125	0.9440395771
126	0.9409453607
127	0.9391622382
128	0.9194238643
129	0.9162973054
130	0.9146544994
131	0.9120462035
132	0.9091874645
133	0.9074283072
134	0.887520806
135	0.8859948604
136	0.8771311063
137	0.8756145918
138	0.8732900657
139	0.8706583257
140	0.8692293989
141	0.8679016305
142	0.8507965978
143	0.8494667201
144	0.8308796066
145	0.8295941214
146	0.8283138708
147	0.8270702235
148	0.8258460615
149	0.8208052972
150	0.8195430797
151	0.8182979977
152	0.8168680434
153	0.8156627224
154	0.8141851203
155	0.813088362
156	0.8001236499
157	0.7989875042
158	0.7979406027
159	0.7968896504
160	0.7958209453
161	0.7940497388
162	0.7929964308
163	0.7812840098
164	0.7679827132
165	0.7619831832
166	0.7610481949
167	0.7545066291
168	0.7535139154
169	0.7526255937
170	0.7516711398
171	0.7455472479
172	0.7446935195
173	0.7438634066
174	0.742228858
175	0.7413421888
176	0.7306505657
177	0.7298901239
178	0.7291168024
179	0.7282750816
180	0.7275502997
181	0.7268495939
182	0.7164706298
183	0.7073310868
184	0.7065250186
185	0.6963862675
186	0.6955972741
187	0.6948262729
188	0.6940727762
189	0.6891834973
190	0.6850995225
191	0.6843600575
192	0.6836417722
193	0.6756602972
194	0.6674706552
195	0.664497534
196	0.6638025458
197	0.6631243056
198	0.6623916139
199	0.6562616399
200	0.6556128203
